               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  30,            0.042204,           0.0051297,           0.0031281,             0.12479,             0.96076,             0.96351,             0.98049,             0.61316,            0.032847,            0.003688,           0.0025095,             0.12118,           0.0099834,           0.0099834,           0.0099834
                  31,              0.0421,           0.0049408,           0.0027742,             0.12316,             0.89557,             0.88304,             0.88482,             0.57804,            0.029704,           0.0036482,           0.0048046,             0.11963,           0.0099822,           0.0099822,           0.0099822
                  32,             0.04176,           0.0051317,           0.0034301,             0.12281,             0.95415,              0.9065,             0.95923,             0.57283,            0.036246,           0.0039305,           0.0051364,             0.11963,            0.009981,            0.009981,            0.009981
                  33,            0.040972,           0.0049737,           0.0027297,              0.1237,             0.94594,             0.95548,              0.9594,              0.6014,            0.027898,           0.0036632,           0.0020597,             0.11903,           0.0099798,           0.0099798,           0.0099798
                  34,            0.040765,           0.0049937,           0.0025504,              0.1216,             0.81337,             0.81829,             0.78659,             0.49104,            0.031361,           0.0037084,           0.0014858,             0.11884,           0.0099785,           0.0099785,           0.0099785
                  35,             0.04061,             0.00501,           0.0032587,             0.12144,             0.94117,              0.9399,             0.93966,               0.605,            0.030025,           0.0035768,           0.0027707,             0.11829,           0.0099772,           0.0099772,           0.0099772
                  36,            0.040114,           0.0049297,           0.0026917,             0.12091,             0.90326,             0.91578,             0.89469,             0.56137,            0.027417,           0.0035424,           0.0017199,             0.11817,           0.0099758,           0.0099758,           0.0099758
                  37,            0.041027,           0.0048859,           0.0023961,             0.12064,             0.90179,             0.93361,             0.90429,             0.55197,            0.028342,           0.0035745,           0.0014629,              0.1197,           0.0099744,           0.0099744,           0.0099744
                  38,            0.039544,           0.0049404,           0.0026319,              0.1203,             0.80025,             0.85276,             0.84362,             0.52944,            0.028428,           0.0035873,           0.0033072,              0.1181,            0.009973,            0.009973,            0.009973
                  39,            0.039178,           0.0049063,           0.0028197,             0.12019,              0.8817,             0.88765,             0.85366,             0.50603,            0.028894,           0.0036052,          0.00077447,             0.11866,           0.0099715,           0.0099715,           0.0099715
